Зеленая миля,драма,"1999, США",9.0
Мира,"фантастика, приключения, драма, семейный","2022, Россия",9.0
1+1,"комедия, драма, биография","2011, Франция",9.0
Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",8.9
Хатико: самый верный друг,"семейный, драма","2009, США",8.9
Побег из Шоушенка,"драма, триллер","1994, США",8.9
Изгой,"приключения, драма","2000, США",8.8
FORD против FERRARI,"биография, драма, спорт","2019, США",8.8
А зори здесь тихие,"исторический, драма, военный","1972, СССР",8.8
Брат,"боевик, драма","1997, Россия",8.8
Форрест Гамп,"комедия, мелодрама, драма","1994, США",8.7
Леон,"драма, триллер, криминал","1994, Франция",8.7
Зеленая книга,драма,"2018, США",8.6
Офицеры,"драма, мелодрама","1971, СССР",8.6
Законопослушный гражданин,"триллер, драма","2009, США",8.6
Гладиатор,"приключения, драма, боевик","2000, Великобритания / США",8.6
Титаник 3D,"приключения, драма, мелодрама","1997, США",8.6
Богемская рапсодия,"драма, биография, мюзикл","2018, США / Великобритания",8.6
Я - легенда,"драма, фантастика, ужасы","2007, США",8.6
Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",8.6
Храброе сердце,"военный, биография, боевик, драма","1995, США",8.6
Джуманджи,"семейный, триллер, комедия, приключения, фантастика, драма","1995, США",8.5
Титаник,"мелодрама, драма, приключения","1997, США",8.5
Небо,"военный, драма","2020, Россия",8.5
Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",8.5
Привидение,"драма, фэнтези, триллер, мистика, комедия","1990, США",8.5
Игры разума,"мистика, драма, биография","2001, США",8.5
В метре друг от друга,"мелодрама, драма","2019, США",8.5
Загадочная история Бенджамина Баттона,"мелодрама, драма, мистика, фантастика","2008, США",8.5
Достать ножи,"детектив, драма, криминал, комедия","2019, США",8.5
Адвокат дьявола,"триллер, драма","1997, США / Германия",8.4
Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",8.4
Остров проклятых,"драма, мистика, триллер","2009, США",8.4
Криминальное чтиво,драма,"1994, США",8.4
Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",8.4
Кошачьи миры Луиса Уэйна,"биография, драма, исторический","2021, Великобритания",8.4
Крестный отец,"драма, триллер","1972, США",8.4
Ее заветное желание,"анимация, драма, мелодрама","2020, Япония",8.4
Отец,драма,"2020, Великобритания / Франция",8.4
Бойцовский клуб,"триллер, боевик, драма","1999, США / Германия",8.4
Живая сталь,"драма, боевик","2011, США",8.4
Долгая дорога домой,"триллер, драма, мистика","2017, Россия",8.4
Движение вверх,"спорт, драма","2017, Россия",8.4
Дневник памяти,"драма, мелодрама","2004, США",8.4
Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",8.3
Господин Никто,"фантастика, фэнтези, драма, мелодрама","2009, Бельгия / Канада / Франция",8.3
Одиннадцать молчаливых мужчин,"драма, спорт","2022, Россия",8.3
По соображениям совести,"военный, драма, биография","2016, США",8.3
Анастасия,"анимация, сказка, драма, мюзикл, семейный, приключения","1997, США",8.3
Чемпион мира,драма,"2021, Россия",8.3
Брестская крепость,"драма, военный","2010, Россия / Беларусь",8.3
Тор: Рагнарёк,"фэнтези, драма, боевик","2017, США",8.3
Исчезнувшая,"триллер, драма","2014, США",8.3
Апокалипсис,"боевик, приключения, драма","2006, США",8.3
Человек божий,драма,"2021, Греция",8.3
Престиж,"сказка, триллер, фантастика, драма","2006, США / Великобритания",8.2
Маленькие женщины,"мелодрама, драма","2019, США",8.2
Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",8.2
Лучшее предложение,"мелодрама, драма","2013, Италия",8.2
Константин: повелитель тьмы,"триллер, боевик, сказка, драма","2005, США / Германия",8.2
Дом Gucci,"криминал, драма, триллер","2021, США",8.2
Салют-7,"драма, исторический","2017, Россия",8.2
Собачья жизнь,"драма, комедия","2017, США",8.2
Вайолет Эвергарден. Фильм,"анимация, драма, фэнтези","2020, Япония",8.2
300 спартанцев,"приключения, драма, боевик","2007, США",8.2
Механик,"драма, боевик","2011, США",8.2
Черный лебедь,"драма, триллер","2010, США",8.2
Смерть на Ниле,"детектив, криминал, драма","2022, США / Великобритания",8.2
Три метра над уровнем неба,драма,"2010, Испания",8.2
28 панфиловцев,"военный, драма","2016, Россия",8.2
Хоббит: Пустошь Смауга,"драма, фэнтези, приключения","2013, США / Новая Зеландия",8.2
Люди Икс: Первый класс,"боевик, фантастика, драма","2011, США",8.2
Отступники,"криминал, драма, триллер","2006, США",8.2
Миллионер из трущоб,"мелодрама, драма, комедия","2008, Великобритания",8.2
Звезда родилась,"драма, мелодрама, мюзикл","2018, США",8.2
Помни меня,"драма, мелодрама","2010, США",8.1
The Box,"драма, музыка, мюзикл","2021, Корея",8.1
Огонь,драма,"2020, Россия",8.1
Лёд 2,"мелодрама, драма","2020, Россия",8.1
Воспоминания о Марни,"аниме , драма, фэнтези","2014, Япония",8.1
В погоне за счастьем,"комедия, драма","2006, США",8.1
Джокер,"криминал, драма","2019, США",8.1
Список Шиндлера,"исторический, военный, драма, биография","1993, США",8.1
Исходный код,"драма, фантастика","2011, США / Франция",8.1
Лицо со шрамом,"драма, криминал","1983, США",8.1
Лучшее во мне,"мелодрама, драма","2014, США",8.1
Реквием по мечте,"драма, криминал","2000, США",8.1
Укрась прощальное утро цветами обещания,"анимация, драма, приключения, аниме ","2018, Япония",8.1
Молот,"драма, спорт","2016, Россия",8.1
Вечное сияние чистого разума,"драма, комедия, мелодрама","2004, США",8.1
Малена,"военный, драма, мелодрама","2000, Италия / США",8.1
RRR: Рядом ревёт революция,"боевик, драма","2022, Индия",8.1
Три дня на побег,"триллер, мелодрама, драма","2010, США",8.1
Человек дождя,драма,"1988, США",8.1
После,"драма, мелодрама","2019, США",8.1
Капернаум,драма,"2018, Ливан / Франция",8.1
Адреналин,"драма, боевик, триллер","2006, Великобритания / США",8.1
Крестный отец 2,"триллер, драма","1974, США",8.1
Пальма,драма,"2020, Россия",8.1
Терминал,"мелодрама, драма","2004, США",8.1
