А зори здесь тихие,"исторический, драма, военный","1972, СССР",8.8
Кошачьи миры Луиса Уэйна,"биография, драма, исторический","2021, Великобритания",8.4
Троя,"исторический, приключения","2004, США / Мальта / Великобритания",8.4
Салют-7,"драма, исторический","2017, Россия",8.2
Список Шиндлера,"исторический, военный, драма, биография","1993, США",8.1
Сердце пармы,"исторический, драма","2022, Россия",8.1
Социальная сеть,"исторический, драма","2010, США",8.1
Адмиралъ,"драма, биография, исторический","2008, Россия",8.0
Петр I: Последний царь и первый император,"исторический, документальный","2022, Россия",8.0
Король говорит!,"драма, исторический","2010, Великобритания / Австралия",8.0
Обещание,"драма, исторический, триллер","2016, США",8.0
Чтец,"мелодрама, исторический, военный, драма, триллер","2008, США / Германия",8.0
Аманат,"биография, исторический, драма","2022, Россия",8.0
Время первых,"драма, исторический","2017, Россия",8.0
1941. Крылья над Берлином,"биография, исторический, мелодрама","2022, Россия",8.0
Сибирский цирюльник,"исторический, драма, мелодрама","1998, Россия / Франция / Италия / Чехия",8.0
Турецкий гамбит,"криминал, исторический, приключения, военный","2005, Россия",8.0
Подольские курсанты,"военный, исторический, драма","2020, Россия",7.9
А зори здесь тихие...,"военный, драма, исторический","2015, Россия",7.9
Василиса,"мелодрама, исторический","2014, Россия",7.9
Банды Нью-Йорка,"драма, исторический","2002, США / Германия / Италия / Великобритания / Нидерланды",7.9
Летчик,"военный, биография, драма, исторический","2021, Россия",7.8
Великий Гэтсби,"драма, исторический","2013, США",7.8
Калашников,"военный, исторический","2020, Россия",7.7
Грех,"драма, биография, исторический","2018, Россия / Италия",7.7
Статский советник,"исторический, криминал, приключения","2005, Россия",7.7
Тарас Бульба,"боевик, исторический","2008, Россия",7.7
Легенда о Коловрате,"приключения, фэнтези, исторический","2017, Россия",7.6
Дюнкерк,"драма, военный, исторический","2017, США / Великобритания / Франция",7.6
Еще одна из рода Болейн,"драма, исторический","2008, Великобритания",7.6
Господа офицеры: спасти императора,"исторический, драма","2008, Россия",7.6
Контрибуция,"исторический, детектив","2016, Россия",7.6
Союз спасения,"драма, исторический, приключения","2019, Россия",7.6
Гоголь. Страшная месть,"драма, исторический, мистика","2018, Россия",7.6
Эйфель,"биография, драма, исторический","2021, Франция",7.5
Поддубный,"драма, исторический","2013, Россия",7.5
Тобол,"драма, исторический","2018, Россия",7.5
Герцогиня,"исторический, драма","2008, Великобритания",7.5
Фаворитка,"биография, исторический","2018, Ирландия / Великобритания / США",7.5
Монгол. Часть первая,"исторический, драма, биография","2007, Казахстан / Россия / Германия",7.4
1814,"криминал, исторический, приключения","2007, Россия",7.4
Свадебный переполох,"исторический, мелодрама","2001, США / Германия",7.4
Скиф,"драма, исторический, фэнтези","2017, Россия",7.3
Тюльпанная лихорадка,"исторический, мелодрама","2016, Великобритания / США",7.3
Царь,"биография, исторический, драма","2009, Россия",7.3
Слуга государев,"боевик, военный, исторический","2007, Россия",7.3
История одного назначения,"биография, исторический","2018, Россия",7.3
Александр. Невская битва,"боевик, исторический","2008, Россия",7.3
Гагарин. Первый в космосе,"исторический, драма, биография","2013, Россия",7.3
Орда,исторический,"2012, Россия",7.2
Астерикс и Обеликс против Цезаря,"исторический, приключения, комедия, семейный, сказка","1999, Франция / Германия / Италия",7.2
Две королевы,"исторический, драма, биография","2018, Великобритания",7.2
Виктория и Абдул,"драма, биография, исторический","2017, США / Великобритания",7.2
Аббатство Даунтон,"драма, исторический","2019, Великобритания",7.2
12 лет рабства,"драма, исторический, биография","2013, США / Великобритания",7.2
Первый Оскар,"драма, исторический, военный","2022, Россия",7.2
Мы из будущего,"фантастика, исторический, приключения, военный","2008, Россия",7.2
Красный призрак,"драма, исторический","2020, Россия",7.1
1612,"исторический, приключения","2007, Россия",7.1
Средневековье,"боевик, драма, исторический","2022, Чехия",7.0
Дикая лига,"спорт, исторический, драма","2019, Россия",7.0
Гоголь. Вий,"мистика, драма, исторический","2018, Россия",6.9
Утраченные иллюзии,"драма, исторический","2021, Франция",6.9
Батальонъ,"военный, мелодрама, исторический, драма","2014, Россия",6.8
Афера по-американски,"исторический, триллер, драма","2013, США",6.6
Бен-Гур,исторический,"2016, США",6.5
Чернобыль,"драма, исторический","2020, Россия",6.5
Затерянный город Z,"исторический, драма, приключения, биография, боевик","2016, США",6.1
Рубеж,"фантастика, исторический, приключения","2017, Россия",6.1
Кон-Тики,"боевик, биография, драма, приключения, исторический","2012, Великобритания / Норвегия / Дания",5.7
Возвращение мушкетеров,"приключения, исторический","2007, Россия",5.7
Тайна Чингис Хаана,"драма, исторический","2008, Россия / Монголия / США",5.6
Танки,"биография, военный, исторический","2018, Россия",5.6
Утомленные солнцем 2: Цитадель,"драма, исторический, военный","2010, Россия / Германия / Франция",5.4
Викинг,"исторический, драма","2016, Россия",5.2
Спасти Ленинград,"драма, исторический","2019, Россия",5.0
