Чебурашка,"семейный, комедия","2022, Россия",9.4
Кот в сапогах 2: Последнее желание,"анимация, комедия, приключения","2022, США",9.2
1+1,"комедия, драма, биография","2011, Франция",9.0
Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",8.9
Как приручить дракона 3,"анимация, семейный, комедия, приключения","2018, США",8.8
Форрест Гамп,"комедия, мелодрама, драма","1994, США",8.7
Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",8.7
Иван Васильевич меняет профессию,"комедия, фантастика","1973, СССР",8.7
Назад в будущее,"приключения, фантастика, комедия, боевик","1985, США",8.7
Бриллиантовая рука,"комедия, приключения, криминал","1968, СССР",8.7
Джентльмены удачи,"криминал, комедия","1971, СССР",8.7
Чего хотят женщины,"мелодрама, комедия","2000, США",8.6
Душа,"анимация, семейный, приключения, комедия","2020, США",8.6
Операция «Фортуна»: Искусство побеждать,"триллер, боевик, комедия","2023, США",8.6
Пираты Карибского моря: На странных берегах,"боевик, комедия, приключения","2011, США",8.6
Любовь и голуби,"комедия, мелодрама","1984, СССР",8.6
Шан-Чи и легенда десяти колец,"фэнтези, боевик, комедия","2021, США",8.6
Пираты Карибского моря: На краю света,"сказка, боевик, комедия, приключения","2007, США",8.6
Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",8.6
Круэлла,комедия,"2021, США",8.5
Ледниковый период,"комедия, приключения, анимация, семейный","2002, США",8.5
Джуманджи,"семейный, триллер, комедия, приключения, фантастика, драма","1995, США",8.5
Рапунцель: Запутанная История,"семейный, мюзикл, анимация, комедия","2010, США",8.5
День сурка,"комедия, мелодрама, фантастика","1993, США",8.5
Привидение,"драма, фэнтези, триллер, мистика, комедия","1990, США",8.5
Главный герой,"фантастика, боевик, комедия, приключения","2021, США",8.5
"Добро пожаловать, или Посторонним вход воспрещен","семейный, комедия","1964, СССР",8.5
Шрэк,"анимация, семейный, комедия","2001, США",8.5
