Бриллиантовая рука,"комедия, приключения, криминал","1968, СССР",8.7
Молчание ягнят,"триллер, криминал","1991, США",8.7
Леон,"драма, триллер, криминал","1994, Франция",8.7
Джентльмены,"боевик, криминал","2020, США",8.7
Джентльмены удачи,"криминал, комедия","1971, СССР",8.7
Брат 2,"боевик, криминал","2000, США / Россия",8.6
Игра,"криминал, приключения, триллер","1997, США",8.6
Не время умирать,"боевик, криминал, триллер, приключения","2021, США / Великобритания",8.5
Достать ножи,"детектив, драма, криминал, комедия","2019, США",8.5
Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",8.4
Гнев человеческий,"криминал, боевик, триллер","2021, Великобритания",8.4
Маска,"фэнтези, криминал, комедия","1994, США",8.4
Крепкий орешек,"триллер, криминал, боевик","1988, США",8.4
Место встречи изменить нельзя,"криминал, детектив, боевик","1979, СССР",8.3
Шерлок Холмс: Игра теней,"приключения, криминал","2011, США",8.3
Иллюзия обмана,"криминал, триллер","2013, США",8.3
Дом Gucci,"криминал, драма, триллер","2021, США",8.2
Смерть на Ниле,"детектив, криминал, драма","2022, США / Великобритания",8.2
Одиннадцать друзей Оушена,"криминал, триллер","2001, США / Австралия",8.2
Васаби,"приключения, криминал, биография, комедия","2001, Франция / Япония",8.2
Отступники,"криминал, драма, триллер","2006, США",8.2
Семь,"мистика, криминал, триллер","1995, США",8.1
Плохие парни навсегда,"боевик, криминал, комедия","2020, США",8.1
Джокер,"криминал, драма","2019, США",8.1
Лицо со шрамом,"драма, криминал","1983, США",8.1
Реквием по мечте,"драма, криминал","2000, США",8.1
Девушка с татуировкой дракона,"криминал, триллер","2011, США",8.1
Погребенный заживо,"криминал, триллер","2010, Испания",8.1
Невидимый гость,"криминал, триллер, детектив","2017, Испания",8.1
Схватка,"драма, криминал","1995, США",8.1
Скорость,"триллер, криминал, боевик","1994, США",8.1
Мотылек,"драма, криминал, биография","2017, Сербия / Черногория / Мальта / США",8.0
Один дома,"криминал, комедия, семейный","1990, США",8.0
Турецкий гамбит,"криминал, исторический, приключения, военный","2005, Россия",8.0
Достать ножи 2: Стеклянная луковица,"детектив, криминал","2022, США",8.0
Призрак,"криминал, драма, триллер","2010, США",7.9
Город тайн,"криминал, драма, мистика","2020, Австралия / США",7.9
Отель Мумбаи: Противостояние,"триллер, драма, криминал","2018, Австрия",7.9
Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",7.9
Форсаж: Хоббс и Шоу,"боевик, криминал","2019, США",7.9
На гребне волны,"драма, приключения, биография, триллер, криминал","1991, США",7.9
Полицейский с Рублевки. Новогодний беспредел,"комедия, драма, криминал","2018, Россия",7.9
"Три билборда на границе Эббинга, Миссури","драма, триллер, криминал","2017, США / Великобритания",7.9
Двойной форсаж,"боевик, триллер, драма, криминал","2003, США / Германия",7.9
Форсаж 8,"боевик, триллер, криминал","2017, США",7.9
"Пароль ""Рыба-меч""","триллер, криминал, боевик","2001, США / Австралия",7.8
Форсаж 6,"боевик, драма, триллер, криминал","2013, США",7.8
Каникулы строгого режима,"комедия, криминал","2009, Россия",7.8
Простая просьба,"триллер, криминал, детектив","2018, США",7.8
Пила 6,"триллер, мистика, криминал, ужасы","2009, США / Канада / Великобритания / Австралия",7.8
Форсаж,"триллер, боевик, криминал","2001, США / Германия",7.8
Форсаж 7,"криминал, триллер, боевик","2015, США",7.8
Малыш на драйве,"боевик, криминал, триллер","2017, США / Великобритания",7.8
Неизвестный,"драма, криминал, триллер","2011, США",7.8
Великий уравнитель 2,"боевик, криминал, триллер","2018, США",7.8
Волк с Уолл-стрит,"драма, криминал","2013, США",7.8
Выстрел в пустоту,"триллер, драма, криминал","2017, США",7.8
Легенда,"триллер, драма, криминал","2015, Великобритания / Франция",7.8
Американская история Х,"криминал, драма","1998, США",7.8
Город грехов,"криминал, триллер, драма, боевик","2005, США",7.8
Гангстер,"криминал, драма","2007, США",7.8
Паркер,"криминал, триллер","2013, США",7.7
Разбогатей или сдохни,"драма, мюзикл, боевик, криминал","2005, США",7.7
Великий уравнитель,"триллер, криминал, боевик","2014, США",7.7
Призрак в доспехах,"криминал, драма, фантастика, боевик","2017, США",7.7
Защитник,криминал,"2011, США",7.7
Ангелы и демоны,"криминал, мистика, драма, триллер","2009, США",7.7
Статский советник,"исторический, криминал, приключения","2005, Россия",7.7
Неуловимые: Последний герой,"триллер, криминал, драма","2015, Россия",7.7
Заложница 2,"триллер, драма, криминал, боевик","2012, Франция",7.7
Падение Лондона,"криминал, боевик, триллер","2015, США / Великобритания",7.7
"Ван Гог. С любовью, Винсент","анимация, драма, криминал, биография","2017, Великобритания / Польша",7.7
Бэтмен,"фантастика, боевик, криминал","2022, США",7.7
Убить Билла 2,"боевик, драма, триллер, криминал","2004, США",7.7
8 подруг Оушена,"криминал, комедия, боевик","2017, США",7.7
Красная жара,"комедия, триллер, криминал, боевик","1988, США",7.7
Вестсайдская история,"мюзикл, мелодрама, криминал","2021, США",7.6
"Прощай, детка, прощай","драма, криминал, мистика","2007, США",7.6
Транс,"триллер, криминал, драма","2013, Великобритания",7.6
Никто,"боевик, триллер, криминал","2021, США",7.6
Пленницы,"триллер, драма, криминал","2013, США",7.6
Мертвец,"криминал, вестерн, драма, приключения","1995, США / Германия / Япония",7.6
Пирамммида,"драма, биография, криминал","2010, Россия",7.6
Дежа вю,"фантастика, триллер, боевик, криминал, приключения, драма, мелодрама","2006, США",7.6
Тройной форсаж: Токийский дрифт,"боевик, криминал, триллер","2006, США / Германия",7.5
Любой ценой,"криминал, драма","2016, США",7.5
Синистер,"криминал, ужасы","2012, США",7.5
Форсаж 9,"боевик, криминал","2021, США",7.5
Пила 4,"криминал, ужасы, триллер","2007, США",7.5
Город воров,"драма, мелодрама, триллер, криминал","2010, США",7.5
Альфа Дог,"криминал, драма","2006, США",7.5
Эластико,"криминал, спорт, мелодрама","2016, Россия",7.5
Рейд,"боевик, триллер, криминал","2011, Индонезия / США / Франция",7.5
Самый пьяный округ в мире,"драма, криминал","2012, США",7.5
Пристрели их,"криминал, драма, триллер, боевик","2007, США",7.5
22 пули. Бессмертный,криминал,"2010, Франция",7.5
