Ходячий замок,"аниме , сказка, фантастика, мелодрама","2004, Япония",8.9
Форрест Гамп,"комедия, мелодрама, драма","1994, США",8.7
Чего хотят женщины,"мелодрама, комедия","2000, США",8.6
Офицеры,"драма, мелодрама","1971, СССР",8.6
Любовь и голуби,"комедия, мелодрама","1984, СССР",8.6
Твое имя,"анимация, фэнтези, мелодрама, аниме ","2016, Япония",8.6
Титаник 3D,"приключения, драма, мелодрама","1997, США",8.6
Титаник,"мелодрама, драма, приключения","1997, США",8.5
День сурка,"комедия, мелодрама, фантастика","1993, США",8.5
Сумерки,"фэнтези, мелодрама","2008, США",8.5
Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",8.5
В метре друг от друга,"мелодрама, драма","2019, США",8.5
Пассажиры,"фантастика, приключения, мелодрама","2016, США",8.5
Загадочная история Бенджамина Баттона,"мелодрама, драма, мистика, фантастика","2008, США",8.5
Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",8.4
Служебный роман,"мелодрама, комедия","1977, СССР",8.4
Сумерки. Сага. Новолуние,"фэнтези, мелодрама","2009, США",8.4
Ее заветное желание,"анимация, драма, мелодрама","2020, Япония",8.4
Дневник памяти,"драма, мелодрама","2004, США",8.4
Принц Персии: Пески времени,"приключения, мелодрама, боевик, фэнтези","2010, США",8.3
Господин Никто,"фантастика, фэнтези, драма, мелодрама","2009, Бельгия / Канада / Франция",8.3
Алита: Боевой ангел,"фантастика, боевик, приключения, мелодрама","2018, США / Канада / Аргентина",8.3
Притворись моей женой,"мелодрама, комедия","2011, США",8.3
Маленькие женщины,"мелодрама, драма","2019, США",8.2
Лучшее предложение,"мелодрама, драма","2013, Италия",8.2
Мистер и миссис Смит,"триллер, приключения, боевик, мелодрама","2005, США",8.2
Один день,"комедия, мелодрама","2011, Великобритания",8.2
Голая правда,"мелодрама, комедия","2009, США",8.2
Предложение,"мелодрама, комедия","2009, США",8.2
Сумерки. Сага. Рассвет: Часть 1,"фэнтези, мелодрама","2011, США",8.2
"Значит, война","комедия, боевик, мелодрама","2011, США",8.2
Дитя погоды,"аниме , мелодрама, анимация, фэнтези","2019, Япония",8.2
Миллионер из трущоб,"мелодрама, драма, комедия","2008, Великобритания",8.2
Звезда родилась,"драма, мелодрама, мюзикл","2018, США",8.2
Помни меня,"драма, мелодрама","2010, США",8.1
