Привидение,"драма, фэнтези, триллер, мистика, комедия","1990, США",8.5
Игры разума,"мистика, драма, биография","2001, США",8.5
Загадочная история Бенджамина Баттона,"мелодрама, драма, мистика, фантастика","2008, США",8.5
Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",8.4
Остров проклятых,"драма, мистика, триллер","2009, США",8.4
Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",8.4
Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",8.4
Долгая дорога домой,"триллер, драма, мистика","2017, Россия",8.4
Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",8.3
Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",8.2
Семь,"мистика, криминал, триллер","1995, США",8.1
Доктор Сон,"мистика, ужасы","2019, США",8.1
Девятые врата,"мистика, ужасы, триллер","1999, Испания / Франция / США",8.0
Город тайн,"криминал, драма, мистика","2020, Австралия / США",7.9
Пила 6,"триллер, мистика, криминал, ужасы","2009, США / Канада / Великобритания / Австралия",7.8
"Знакомьтесь, Джо Блэк","мелодрама, мистика, фэнтези, драма","1998, США",7.8
Порок на экспорт,"драма, триллер, мистика","2007, Великобритания / Канада / США",7.8
Ангелы и демоны,"криминал, мистика, драма, триллер","2009, США",7.7
Другие,"ужасы, фантастика, мистика, триллер, драма","2001, Испания / Франция / США",7.7
Знамение,"мистика, триллер, драма","2009, США",7.7
Миссия: Невыполнима 3,"триллер, боевик, мистика, приключения","2006, Германия / США",7.7
Приключения Тинтина: Тайна единорога,"семейный, анимация, приключения, мистика","2011, США / Новая Зеландия / Бельгия",7.7
"Прощай, детка, прощай","драма, криминал, мистика","2007, США",7.6
Шестое чувство,"документальный, мистика, триллер","1999, США",7.6
"Винчестер. Дом, который построили призраки","мистика, триллер","2018, США",7.6
Гоголь. Страшная месть,"драма, исторический, мистика","2018, Россия",7.6
Великая стена,"триллер, мистика","2016, США",7.6
Подмена,мистика,"2008, США",7.6
Звонок 2,"ужасы, триллер, мистика, драма","2005, США",7.5
Астрал 4: Последний ключ,"ужасы, триллер, мистика","2017, США",7.5
Малхолланд Драйв,"драма, триллер, мистика","2001, Франция / США",7.4
Помни,"криминал, мистика, триллер","2000, США",7.4
Тихое место,"ужасы, мистика","2018, США",7.4
Помутнение,"триллер, драма, анимация, мистика, фантастика","2006, США",7.4
Приют,"мистика, триллер, ужасы, драма","2007, Мексика / Испания",7.4
Китайский квартал,"триллер, мистика","1974, США",7.4
Планета Ка-ПЭКС,"мистика, фантастика, драма","2001, США",7.4
История одного вампира,"триллер, семейный, мистика, приключения","2009, США",7.3
Дитя тьмы,"драма, мистика, ужасы","2009, США",7.3
Темные ангелы,"драма, мистика","2015, Венгрия / США",7.3
Форма воды,"военный, мистика","2017, США",7.3
Проклятие монахини,"ужасы, мистика, триллер","2018, США",7.2
Пункт назначения 3,"мистика, драма, триллер, ужасы","2006, Германия / США",7.2
Из ада,"триллер, криминал, мистика, ужасы","2001, США",7.2
Голос из камня,"драма, триллер, детектив, мистика","2017, США",7.1
Воображариум доктора Парнаса,"приключения, мистика, фэнтези","2009, Франция / Канада",7.1
Сыщик,"триллер, мистика","2007, США",7.1
Код да Винчи,"триллер, мистика, драма","2006, США",7.1
Гоголь. Начало,"драма, мистика","2017, Россия",7.1
Пила 5,"криминал, триллер, ужасы, боевик, мистика","2008, США",7.1
Розовая Пантера 2,"комедия, мистика","2009, США",7.0
Гоголь. Вий,"мистика, драма, исторический","2018, Россия",6.9
Дневной дозор,"мистика, триллер, боевик, фантастика","2005, Россия",6.9
Незваные,"мистика, драма, ужасы","2009, США",6.7
Будь моими глазами,"криминал, драма, мистика","2021, Канада",6.7
Яга: Кошмар темного леса,"ужасы, фэнтези, мистика","2019, Россия",6.5
Чудовище,"ужасы, мистика, триллер","2022, США",6.5
Невеста,"ужасы, триллер, мистика","2017, Россия",6.4
Шоссе в никуда,"мистика, ужасы, триллер, драма","1997, США / Франция",6.4
Секретные материалы: Хочу верить,"ужасы, фантастика, мистика","2008, США / Канада",6.2
Обитель зла: Раккун-Сити,"боевик, ужасы, мистика","2021, Германия / США",6.2
Оцепеневшие от страха,"ужасы, мистика","2017, Аргентина",6.1
Память,"драма, мистика","2021, Колумбия / Таиланд / Франция / Германия / Мексика / Катар / Китай / Швейцария",5.8
Джиперс Криперс: Возрожденный,"ужасы, мистика, триллер","2021, США / Финляндия",4.8
Цветок Дьявола,"мелодрама, мистика","2010, Россия",3.9
