Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",8.9
Зверопой 2,"анимация, мюзикл","2021, США",8.8
Богемская рапсодия,"драма, биография, мюзикл","2018, США / Великобритания",8.6
Рапунцель: Запутанная История,"семейный, мюзикл, анимация, комедия","2010, США",8.5
Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",8.4
Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",8.3
Анастасия,"анимация, сказка, драма, мюзикл, семейный, приключения","1997, США",8.3
Майкл Джексон: Вот и все,"документальный, мюзикл","2009, США",8.3
Аладдин,"приключения, мюзикл","2019, США",8.2
Д'Артаньян и три мушкетёра,"мюзикл, приключения","1979, СССР",8.2
Звезда родилась,"драма, мелодрама, мюзикл","2018, США",8.2
The Box,"драма, музыка, мюзикл","2021, Корея",8.1
Величайший шоумен,"мюзикл, биография, драма","2018, США",8.0
Бурлеск,"мелодрама, мюзикл, драма","2010, США",8.0
BTS: Love Yourself Tour in Seoul,"документальный, мюзикл","2018, Корея",8.0
Мама,"семейный, сказка, мюзикл","1976, СССР / Франция / Румыния",7.9
"Суини Тодд, демон-парикмахер с Флит-стрит","мюзикл, ужасы, триллер","2007, США",7.8
Шаг вперед,"мелодрама, мюзикл, драма","2006, США",7.8
Кошмар перед Рождеством,"семейный, фэнтези, мюзикл, анимация","1993, США",7.8
Элвин и бурундуки 3,"семейный, мюзикл, комедия","2011, США",7.8
Классный мюзикл: Выпускной,"мелодрама, комедия, мюзикл, семейный, драма","2008, США",7.8
Элвин и бурундуки 2,"фантастика, комедия, семейный, мюзикл","2009, США",7.8
Зверопой,"мюзикл, анимация","2016, США",7.8
Классный мюзикл,"мелодрама, комедия, семейный, мюзикл","2006, США",7.8
Разбогатей или сдохни,"драма, мюзикл, боевик, криминал","2005, США",7.7
Rammstein: Paris!,мюзикл,"2016, Германия",7.7
Призрак оперы,"драма, триллер, мюзикл, сказка, мелодрама","2004, США / Великобритания",7.7
Mamma Mia 2,мюзикл,"2018, США",7.7
Стиляги,"комедия, мюзикл","2008, Россия",7.7
Вестсайдская история,"мюзикл, мелодрама, криминал","2021, США",7.6
Жизнь в розовом цвете,"биография, драма, мюзикл","2007, Франция / Великобритания / Чехия",7.6
Принцесса и лягушка,"мелодрама, мюзикл, комедия, семейный, анимация","2009, США",7.6
Мамма Миа!,"комедия, мелодрама, мюзикл","2008, Великобритания / США",7.6
Ранэвэйс,"драма, мюзикл","2010, США",7.6
Отверженные,"мюзикл, драма","2012, Великобритания",7.6
BTS: Bring The Soul. The movie,"документальный, мюзикл","2019, Корея",7.6
Шаг вперед 3,"мюзикл, драма, мелодрама","2010, США",7.6
Красавица и чудовище,"фэнтези, мелодрама, мюзикл","2017, США",7.6
Шаг вперед 2: улицы,"мелодрама, драма, мюзикл","2008, США",7.5
Зачарованная,"комедия, приключения, сказка, мюзикл, семейный, анимация","2007, США",7.5
Мулен Руж,"мюзикл, драма","2001, Австрия / США",7.4
2Pac: Легенда,"драма, биография, мюзикл","2017, США",7.4
Джастин Бибер: Никогда не говори никогда 3D,мюзикл,"2011, США",7.4
Контроль,"мюзикл, драма, биография","2007, США / Великобритания / Австралия / Япония",7.4
#Все_исправить!?!,"комедия, мюзикл","2016, Россия",7.4
Мэри Поппинс возвращается,"мюзикл, семейный","2018, США",7.4
Лето,"биография, драма, мюзикл","2018, Россия",7.4
Элвис,"драма, биография, мюзикл","2022, США",7.3
Ла-Ла Ленд,"мюзикл, драма, мелодрама, комедия","2016, США",7.3
Классный мюзикл 2: Каникулы,"мюзикл, семейный, драма, комедия, мелодрама","2007, США",7.3
Шаг вперед 4,"мелодрама, драма, мюзикл","2012, США",7.3
Зеленый театр в Земфире,"биография, мюзикл","2008, Россия",7.2
Через вселенную,"мелодрама, драма, мюзикл","2007, США",7.2
Степфордские жены,"мюзикл, драма, триллер, комедия","2004, США",7.1
Плакса,"мюзикл, мелодрама, комедия","1990, США",7.0
Первая любовь,"мюзикл, семейный, драма","2008, Россия",7.0
Yesterday,"мюзикл, комедия","2019, Великобритания",7.0
Алла Пугачева. Тот самый концерт,"мюзикл, концерт","2019, Россия",6.4
Рокетмен,"мюзикл, биография","2019, Великобритания",6.1
Вечно молодой,"комедия, мюзикл","2017, Франция",5.9
Аннетт,"драма, мюзикл","2021, США / Франция",5.8
Чем дальше в лес...,"комедия, фэнтези, мюзикл","2014, США",5.8
Игла Remix,мюзикл,"2010, Россия",5.7
Наша Маша и волшебный орех,"мюзикл, семейный, комедия, анимация","2009, Россия",4.9
