Кот в сапогах 2: Последнее желание,"анимация, комедия, приключения","2022, США",9.2
Аватар 2: Путь воды,"приключения, боевик, фантастика","2022, США",9.1
Человек-паук: Нет пути домой,"фантастика, боевик, приключения","2021, США",9.0
Мира,"фантастика, приключения, драма, семейный","2022, Россия",9.0
Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",8.9
Изгой,"приключения, драма","2000, США",8.8
Ван-Пис: Красный,"боевик, приключения, анимация","2022, Япония",8.8
Пираты Карибского моря: Проклятие черной жемчужины,"приключения, боевик","2003, США",8.8
Как приручить дракона 3,"анимация, семейный, комедия, приключения","2018, США",8.8
Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",8.7
Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",8.7
Истребитель демонов: Поезд «Бесконечный»,"боевик, приключения, анимация","2020, Япония",8.7
Назад в будущее,"приключения, фантастика, комедия, боевик","1985, США",8.7
Ночь в магазине ужастиков,"приключения, семейный, фэнтези","2022, США",8.7
Бриллиантовая рука,"комедия, приключения, криминал","1968, СССР",8.7
101 далматинец,"семейный, приключения, анимация","1961, США",8.7
Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",8.7
Властелин Колец: Братство Кольца,"приключения, боевик, фэнтези","2001, Новая Зеландия / США",8.6
Душа,"анимация, семейный, приключения, комедия","2020, США",8.6
Игра,"криминал, приключения, триллер","1997, США",8.6
Тайна Коко,"анимация, приключения","2017, США",8.6
Пираты Карибского моря: На странных берегах,"боевик, комедия, приключения","2011, США",8.6
Гладиатор,"приключения, драма, боевик","2000, Великобритания / США",8.6
Малефисента: Владычица тьмы,"фэнтези, семейный, приключения","2019, США",8.6
Титаник 3D,"приключения, драма, мелодрама","1997, США",8.6
Пираты Карибского моря: На краю света,"сказка, боевик, комедия, приключения","2007, США",8.6
Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",8.6
Ледниковый период,"комедия, приключения, анимация, семейный","2002, США",8.5
Джуманджи,"семейный, триллер, комедия, приключения, фантастика, драма","1995, США",8.5
Титаник,"мелодрама, драма, приключения","1997, США",8.5
Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",8.5
Холодное сердце,"приключения, анимация, семейный","2013, США",8.5
Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",8.5
Главный герой,"фантастика, боевик, комедия, приключения","2021, США",8.5
Не время умирать,"боевик, криминал, триллер, приключения","2021, США / Великобритания",8.5
Пассажиры,"фантастика, приключения, мелодрама","2016, США",8.5
Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",8.5
Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",8.4
Лука,"анимация, приключения, фэнтези","2021, США",8.4
Хоббит: Нежданное путешествие,"фэнтези, приключения","2012, США",8.4
Зов предков,"приключения, анимация, семейный","2020, США",8.4
Железный человек,"приключения, фантастика, боевик, триллер","2008, США",8.4
Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",8.4
Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",8.4
Троя,"исторический, приключения","2004, США / Мальта / Великобритания",8.4
Пираты Карибского моря: Сундук мертвеца,"боевик, сказка, комедия, приключения","2006, США",8.4
Пираты Карибского моря: Мертвецы не рассказывают сказки,"комедия, фэнтези, боевик, приключения","2017, США",8.4
Анчартед: на картах не значится,"боевик, приключения","2022, США",8.4
Гарри Поттер и философский камень,"приключения, семейный, сказка","2001, Великобритания / США",8.4
Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",8.3
Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",8.3
Принц Персии: Пески времени,"приключения, мелодрама, боевик, фэнтези","2010, США",8.3
Скала,"боевик, приключения","1996, США",8.3
Алита: Боевой ангел,"фантастика, боевик, приключения, мелодрама","2018, США / Канада / Аргентина",8.3
Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",8.3
Энканто,"приключения, анимация, комедия","2021, США / Колумбия",8.3
Шрэк 2,"сказка, комедия, анимация, приключения, семейный","2004, США",8.3
Анастасия,"анимация, сказка, драма, мюзикл, семейный, приключения","1997, США",8.3
