Чебурашка,"семейный, комедия","2022, Россия",9.4
Мира,"фантастика, приключения, драма, семейный","2022, Россия",9.0
Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",8.9
Хатико: самый верный друг,"семейный, драма","2009, США",8.9
Как приручить дракона 3,"анимация, семейный, комедия, приключения","2018, США",8.8
Ночь в магазине ужастиков,"приключения, семейный, фэнтези","2022, США",8.7
101 далматинец,"семейный, приключения, анимация","1961, США",8.7
Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",8.7
Душа,"анимация, семейный, приключения, комедия","2020, США",8.6
Малефисента: Владычица тьмы,"фэнтези, семейный, приключения","2019, США",8.6
ВАЛЛ-И,"семейный, фэнтези, анимация","2008, США",8.6
Холодное сердце 2,"анимация, семейный, детский","2019, США",8.6
Ледниковый период,"комедия, приключения, анимация, семейный","2002, США",8.5
Джуманджи,"семейный, триллер, комедия, приключения, фантастика, драма","1995, США",8.5
Рапунцель: Запутанная История,"семейный, мюзикл, анимация, комедия","2010, США",8.5
Холодное сердце,"приключения, анимация, семейный","2013, США",8.5
Собачья жизнь 2,семейный,"2019, США",8.5
"Добро пожаловать, или Посторонним вход воспрещен","семейный, комедия","1964, СССР",8.5
Как приручить дракона,"анимация, семейный, сказка","2010, США",8.5
Шрэк,"анимация, семейный, комедия","2001, США",8.5
Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",8.5
Зов предков,"приключения, анимация, семейный","2020, США",8.4
Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",8.4
Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",8.4
Король Лев,"фантастика, семейный","2019, США",8.4
Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",8.4
Гарри Поттер и философский камень,"приключения, семейный, сказка","2001, Великобритания / США",8.4
Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",8.3
