Ходячий замок,"аниме , сказка, фантастика, мелодрама","2004, Япония",8.9
Пираты Карибского моря: На краю света,"сказка, боевик, комедия, приключения","2007, США",8.6
Как приручить дракона,"анимация, семейный, сказка","2010, США",8.5
Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",8.4
Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",8.4
Пираты Карибского моря: Сундук мертвеца,"боевик, сказка, комедия, приключения","2006, США",8.4
Гарри Поттер и философский камень,"приключения, семейный, сказка","2001, Великобритания / США",8.4
Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",8.3
Три богатыря и шамаханская царица,"сказка, анимация","2010, Россия",8.3
Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",8.3
Шрэк 2,"сказка, комедия, анимация, приключения, семейный","2004, США",8.3
Анастасия,"анимация, сказка, драма, мюзикл, семейный, приключения","1997, США",8.3
Корпорация Монстров,"семейный, сказка, комедия, анимация","2001, США",8.3
Престиж,"сказка, триллер, фантастика, драма","2006, США / Великобритания",8.2
Константин: повелитель тьмы,"триллер, боевик, сказка, драма","2005, США / Германия",8.2
Алеша Попович и Тугарин Змей,"семейный, сказка, анимация","2004, Россия",8.2
Волк и теленок,"семейный, анимация, сказка","1984, СССР",8.2
Брюс Всемогущий,"сказка, комедия","2003, США",8.2
Мадагаскар 2,"сказка, семейный, анимация, комедия, приключения","2008, США",8.2
Мумия,"триллер, комедия, боевик, сказка, ужасы, приключения","1999, США",8.1
Добрыня Никитич и Змей Горыныч,"сказка, комедия, анимация, семейный, приключения","2006, Россия",8.1
Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",8.1
Гарри Поттер и Орден Феникса,"сказка, семейный, драма, приключения","2007, Великобритания / США",8.1
Шрэк навсегда,"сказка, приключения, семейный, анимация, комедия","2010, США",8.1
Небесный замок Лапута,"сказка, анимация, семейный, приключения, аниме ","1986, Япония",8.0
Звездная пыль,"приключения, мелодрама, сказка","2007, Великобритания / США",8.0
Труп невесты,"анимация, сказка","2005, США",8.0
Ученик чародея,"сказка, семейный, приключения, драма, боевик","2010, США",7.9
Ван Хельсинг,"приключения, ужасы, боевик, сказка","2004, США / Чехия",7.9
Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",7.9
Мама,"семейный, сказка, мюзикл","1976, СССР / Франция / Румыния",7.9
Мой сосед Тоторо,"аниме , сказка, семейный, анимация","1988, Япония",7.8
Крупная рыба,"приключения, сказка, комедия, драма","2003, США",7.8
Эдвард руки-ножницы,"сказка, драма, мелодрама, комедия","1990, США",7.8
Артур и Минипуты,"анимация, сказка, семейный","2006, США / Франция",7.8
Призрак оперы,"драма, триллер, мюзикл, сказка, мелодрама","2004, США / Великобритания",7.7
Другой мир,"сказка, боевик, ужасы","2003, США / Германия / Венгрия / Великобритания",7.7
Артур и месть Урдалака,"сказка, семейный, анимация","2009, Франция",7.7
Бесконечная история,"сказка, приключения, драма","1984, ФРГ / США",7.6
Иван Царевич и Серый Волк,"комедия, анимация, сказка","2011, Россия",7.6
Ведьмина служба доставки,"приключения, комедия, сказка, семейный, анимация, аниме ","1989, Япония",7.6
Хроники Нарнии: Принц Каспиан,"семейный, сказка, приключения","2008, Великобритания / США",7.6
Чарли и шоколадная фабрика,"приключения, сказка, комедия, семейный","2005, США",7.6
Перси Джексон и похититель молний,"фэнтези, сказка","2009, Канада / США",7.6
Золотой компас,"драма, приключения, семейный, сказка, триллер","2007, США / Великобритания",7.5
Алиса в стране чудес,"сказка, приключения, семейный","2010, США",7.5
Мадагаскар,"комедия, анимация, приключения, сказка, семейный","2005, США",7.5
Зачарованная,"комедия, приключения, сказка, мюзикл, семейный, анимация","2007, США",7.5
Артур и война двух миров,"сказка, анимация","2010, Франция",7.5
Лабиринт Фавна,"драма, сказка, ужасы, триллер","2006, Мексика / Испания / США",7.5
Эрагон,"семейный, приключения, сказка, боевик","2006, США",7.5
"Хроники Нарнии: лев, колдунья и волшебный шкаф","сказка, боевик, семейный, драма, приключения","2005, США",7.4
Хоттабыч,"семейный, комедия, сказка","2006, Россия",7.4
Шрэк-третий,"анимация, комедия, приключения, сказка, семейный","2007, США",7.4
Смурфики,"семейный, анимация, сказка","2011, США / Бельгия",7.4
В ожидании чуда,"мелодрама, комедия, сказка","2007, Россия",7.4
Ночь в музее,"семейный, комедия, сказка","2006, США",7.4
Астерикс и Обеликс против Цезаря,"исторический, приключения, комедия, семейный, сказка","1999, Франция / Германия / Италия",7.2
Чернильное сердце,"сказка, семейный, приключения","2008, Германия / США / Великобритания",7.2
Спайдервик: Хроники,"семейный, приключения, сказка, драма","2008, США",7.2
Зубная фея,"сказка, комедия","2009, США / Канада",7.2
Лемони Сникет: 33 несчастья,"комедия, сказка, семейный, приключения","2004, США / Германия",7.1
Ночной дозор,"сказка, фантастика, драма","2004, Россия",7.0
Цыпочка,"комедия, сказка","2002, США",6.9
Приключения Десперо,"комедия, сказка, приключения, анимация, семейный","2008, Великобритания / США",6.8
Лавка чудес,"семейный, сказка, комедия","2007, США",6.8
Белоснежка и охотник,"сказка, приключения, боевик","2012, США",6.6
Волкодав,"фантастика, приключения, сказка","2006, Россия",6.2
Книга мастеров,"семейный, сказка","2009, Россия",6.0
Приключения Аленушки и Еремы,"анимация, сказка, приключения, семейный","2008, Россия",5.9
Щелкунчик и крысиный король,сказка,"2010, Великобритания",4.0
