FORD против FERRARI,"биография, драма, спорт","2019, США",8.8
Движение вверх,"спорт, драма","2017, Россия",8.4
Одиннадцать молчаливых мужчин,"драма, спорт","2022, Россия",8.3
Легенда №17,"биография, спорт","2012, Россия",8.3
Молот,"драма, спорт","2016, Россия",8.1
Каратэ-пацан,"драма, семейный, спорт, боевик","2010, США",8.0
Гонка,"биография, драма, боевик, спорт","2012, США",8.0
Белый снег,"драма, спорт, биография","2021, Россия",8.0
Мистер нокаут,спорт,"2022, Россия",7.9
Рокки,"спорт, мелодрама, драма","1976, США",7.8
Крид 2,"спорт, драма, боевик","2018, США",7.8
Тренер,"спорт, драма","2018, Россия",7.8
Один вдох,"спорт, драма","2020, Россия",7.8
Бой с тенью 2: Реванш,"спорт, боевик","2007, Россия",7.7
Выкрутасы,"мелодрама, комедия, спорт","2010, Россия",7.6
Эластико,"криминал, спорт, мелодрама","2016, Россия",7.5
Рестлер,"боевик, спорт, драма","2009, США",7.5
Дневник баскетболиста,"биография, спорт, драма","1995, США",7.5
Счастливчик Гилмор,"спорт, комедия","1996, США",7.4
Рокки Бальбоа,"боевик, спорт, драма","2006, США",7.4
Лев Яшин. Вратарь моей мечты,"биография, спорт, драма","2019, Россия",7.4
В спорте только девушки,"комедия, спорт","2013, Россия",7.4
Левша,"спорт, драма","2015, США",7.3
Король Ричард,"драма, биография, спорт","2021, США",7.3
Покорители волн,"спорт, драма","2012, США",7.2
Эдди «Орел»,"драма, спорт","2016, Великобритания / США / Германия",7.0
Дикая лига,"спорт, исторический, драма","2019, Россия",7.0
Тоня против всех,"биография, комедия, спорт","2017, США",6.7
Спиди-гонщик,"семейный, спорт, боевик","2008, США",6.7
Чемпионы,"спорт, драма","2014, Россия",6.6
Стрельцов,"биография, спорт, драма","2020, Россия",6.0
Небесная команда,"драма, спорт","2020, Россия / Беларусь",5.8
Воин,"спорт, драма","2015, Россия",4.8
