Побег из Шоушенка,"драма, триллер","1994, США",8.9
Аватар,"боевик, фантастика, триллер","2009, США",8.8
Аватар: Специальная версия,"боевик, триллер, фантастика","2010, США",8.8
Начало,"боевик, фантастика, триллер","2010, США / Великобритания",8.7
Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",8.7
Молчание ягнят,"триллер, криминал","1991, США",8.7
Леон,"драма, триллер, криминал","1994, Франция",8.7
Терминатор 2: Судный день 3D,"боевик, триллер","2017, США",8.7
Матрица,"боевик, фантастика, триллер","1999, Австралия / США",8.7
Игра,"криминал, приключения, триллер","1997, США",8.6
Операция «Фортуна»: Искусство побеждать,"триллер, боевик, комедия","2023, США",8.6
Законопослушный гражданин,"триллер, драма","2009, США",8.6
Области тьмы,триллер,"2011, США",8.6
Джуманджи,"семейный, триллер, комедия, приключения, фантастика, драма","1995, США",8.5
Привидение,"драма, фэнтези, триллер, мистика, комедия","1990, США",8.5
Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",8.5
Не время умирать,"боевик, криминал, триллер, приключения","2021, США / Великобритания",8.5
Адвокат дьявола,"триллер, драма","1997, США / Германия",8.4
Остров проклятых,"драма, мистика, триллер","2009, США",8.4
Железный человек,"приключения, фантастика, боевик, триллер","2008, США",8.4
Веном,"фантастика, боевик, триллер","2018, США",8.4
Гнев человеческий,"криминал, боевик, триллер","2021, Великобритания",8.4
Крестный отец,"драма, триллер","1972, США",8.4
Бойцовский клуб,"триллер, боевик, драма","1999, США / Германия",8.4
Крепкий орешек,"триллер, криминал, боевик","1988, США",8.4
Долгая дорога домой,"триллер, драма, мистика","2017, Россия",8.4
Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",8.3
Заложница,"триллер, боевик","2008, Франция",8.3
Исчезнувшая,"триллер, драма","2014, США",8.3
Чужой,"ужасы, фантастика, триллер","1979, США / Великобритания",8.3
Сонная лощина,"триллер, ужасы, фантастика","1999, США",8.3
Первому игроку приготовиться,"фантастика, боевик, триллер","2018, США",8.3
Иллюзия обмана,"криминал, триллер","2013, США",8.3
Престиж,"сказка, триллер, фантастика, драма","2006, США / Великобритания",8.2
Полицейский из Беверли-Хиллз 4,"боевик, триллер, комедия",", США",8.2
Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",8.2
Вышка,триллер,"2022, Великобритания / США",8.2
От заката до рассвета,"боевик, триллер, ужасы","1995, США",8.2
Константин: повелитель тьмы,"триллер, боевик, сказка, драма","2005, США / Германия",8.2
Дом Gucci,"криминал, драма, триллер","2021, США",8.2
Мистер и миссис Смит,"триллер, приключения, боевик, мелодрама","2005, США",8.2
Терминатор,"триллер, фантастика, боевик","1984, Великобритания / США",8.2
Черный лебедь,"драма, триллер","2010, США",8.2
"Я, робот","фантастика, приключения, триллер","2004, США",8.2
Час пик 2,"триллер, комедия, приключения, боевик","2001, США",8.2
Индиана Джонс: В поисках утраченного ковчега,"приключения, триллер, боевик","1981, США",8.2
Одиннадцать друзей Оушена,"криминал, триллер","2001, США / Австралия",8.2
Отступники,"криминал, драма, триллер","2006, США",8.2
Чужие,"триллер, ужасы, боевик, фантастика","1986, США / Великобритания",8.2
Семь,"мистика, криминал, триллер","1995, США",8.1
Мумия,"триллер, комедия, боевик, сказка, ужасы, приключения","1999, США",8.1
Крепкий орешек 4.0,"приключения, триллер, боевик","2007, США",8.1
Эквилибриум,"фантастика, триллер","2002, США",8.1
Команда А,"боевик, триллер, военный","2010, США",8.1
Заклятие,"триллер, ужасы","2013, США",8.1
Час пик,"триллер, боевик, комедия","1998, США",8.1
Клаустрофобы 2: Лига выживших,"ужасы, триллер","2021, США",8.1
Три дня на побег,"триллер, мелодрама, драма","2010, США",8.1
Девушка с татуировкой дракона,"криминал, триллер","2011, США",8.1
Адреналин,"драма, боевик, триллер","2006, Великобритания / США",8.1
Крестный отец 2,"триллер, драма","1974, США",8.1
Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",8.1
Погребенный заживо,"криминал, триллер","2010, Испания",8.1
Робот по имени Чаппи,"боевик, триллер","2015, США / Мексика",8.1
Астрал,"ужасы, триллер","2011, США",8.1
Жестокие игры,"мелодрама, драма, триллер","1999, США",8.1
2012,"драма, фантастика, боевик, триллер, приключения","2009, США / Канада",8.1
Невидимый гость,"криминал, триллер, детектив","2017, Испания",8.1
Индиана Джонс и последний крестовый Поход,"фантастика, боевик, приключения, триллер","1989, США",8.1
На крючке,"драма, триллер","2008, США",8.1
Скорость,"триллер, криминал, боевик","1994, США",8.1
Эффект бабочки,"драма, триллер, фантастика","2004, США",8.0
Поезд в Пусан,"ужасы, боевик, триллер","2016, Корея",8.0
Смертельная гонка,"фантастика, триллер, приключения, боевик","2008, США",8.0
Апгрейд,"фантастика, боевик, триллер","2018, Австралия",8.0
Обещание,"драма, исторический, триллер","2016, США",8.0
Дьявол,"ужасы, триллер","2010, США",8.0
Правдивая ложь,"боевик, комедия, триллер, приключения, мелодрама","1994, США",8.0
Чтец,"мелодрама, исторический, военный, драма, триллер","2008, США / Германия",8.0
Обитель проклятых,триллер,"2014, США",8.0
Джон Уик,"боевик, триллер","2014, США",8.0
Девятые врата,"мистика, ужасы, триллер","1999, Испания / Франция / США",8.0
Поворот не туда,"триллер, ужасы","2003, США",8.0
Тайное окно,"ужасы, триллер, драма","2004, США",8.0
Призрак,"криминал, драма, триллер","2010, США",7.9
Вспомнить все,"приключения, ужасы, боевик, триллер, фантастика","1990, США",7.9
Пророк,"фантастика, триллер, боевик","2007, США",7.9
Отель Мумбаи: Противостояние,"триллер, драма, криминал","2018, Австрия",7.9
Экипаж,"драма, приключения, триллер","2016, Россия",7.9
Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",7.9
Время ведьм,"приключения, фэнтези, драма, триллер","2010, США",7.9
На гребне волны,"драма, приключения, биография, триллер, криминал","1991, США",7.9
28 недель спустя,"фантастика, триллер, ужасы","2007, Великобритания",7.9
Пункт назначения,"фантастика, ужасы, триллер","2000, США",7.9
Выживут только любовники,"фантастика, триллер, драма","2013, США",7.9
