Я - легенда,"драма, фантастика, ужасы","2007, США",8.6
Чужой,"ужасы, фантастика, триллер","1979, США / Великобритания",8.3
Сонная лощина,"триллер, ужасы, фантастика","1999, США",8.3
От заката до рассвета,"боевик, триллер, ужасы","1995, США",8.2
Чужие,"триллер, ужасы, боевик, фантастика","1986, США / Великобритания",8.2
Мумия,"триллер, комедия, боевик, сказка, ужасы, приключения","1999, США",8.1
Заклятие 3: По воле дьявола,ужасы,"2021, США",8.1
Клаустрофобы,ужасы,"2019, США",8.1
Заклятие,"триллер, ужасы","2013, США",8.1
Клаустрофобы 2: Лига выживших,"ужасы, триллер","2021, США",8.1
Доктор Сон,"мистика, ужасы","2019, США",8.1
Добро пожаловать в Зомбилэнд,"комедия, ужасы","2009, США",8.1
Астрал,"ужасы, триллер","2011, США",8.1
Поезд в Пусан,"ужасы, боевик, триллер","2016, Корея",8.0
Дьявол,"ужасы, триллер","2010, США",8.0
Семейка Аддамс: Горящий тур,"анимация, ужасы, комедия, семейный","2021, США / Великобритания / Канада",8.0
Девятые врата,"мистика, ужасы, триллер","1999, Испания / Франция / США",8.0
Зеркала,ужасы,"2008, США",8.0
Поворот не туда,"триллер, ужасы","2003, США",8.0
Черный телефон,ужасы,"2022, США",8.0
Тайное окно,"ужасы, триллер, драма","2004, США",8.0
Вспомнить все,"приключения, ужасы, боевик, триллер, фантастика","1990, США",7.9
Ван Хельсинг,"приключения, ужасы, боевик, сказка","2004, США / Чехия",7.9
Мег: Монстр глубины,"ужасы, фантастика, боевик","2018, США",7.9
28 недель спустя,"фантастика, триллер, ужасы","2007, Великобритания",7.9
Пункт назначения,"фантастика, ужасы, триллер","2000, США",7.9
Оно приходит ночью,"ужасы, триллер, драма","2017, США",7.9
Пандорум,"ужасы, фантастика","2009, США / Германия",7.9
Тепло наших тел,"мелодрама, драма, ужасы","2013, США",7.9
Паранормальное явление 3,ужасы,"2011, США",7.9
Тихое место 2,ужасы,"2021, США",7.9
Дом восковых фигур,"ужасы, триллер","2005, Австралия / США",7.9
Паранормальное явление 2,ужасы,"2010, США",7.9
Обитель зла,"ужасы, боевик, триллер, фантастика","2002, Германия / Франция / Великобритания",7.8
"Суини Тодд, демон-парикмахер с Флит-стрит","мюзикл, ужасы, триллер","2007, США",7.8
Чужой 3,"триллер, драма, боевик, фантастика, ужасы","1992, США",7.8
Пила 6,"триллер, мистика, криминал, ужасы","2009, США / Канада / Великобритания / Австралия",7.8
Сайлент Хилл,"ужасы, триллер","2006, Канада / Франция",7.8
1408,"триллер, ужасы","2007, США",7.8
Хижина в лесу,"ужасы, триллер","2012, США",7.8
Убежище,"триллер, ужасы","2010, США",7.8
Коллекционер 2,ужасы,"2012, США",7.8
Мгла,ужасы,"2007, США",7.8
Я плюю на ваши могилы,ужасы,"2010, США",7.8
Оно,"ужасы, триллер","2017, США",7.7
Сайлент Хилл 2 3D,ужасы,"2012, США / Франция",7.7
Другой мир,"сказка, боевик, ужасы","2003, США / Германия / Венгрия / Великобритания",7.7
Не стучи дважды,ужасы,"2016, Великобритания",7.7
Судный день,"драма, триллер, боевик, ужасы","2008, Великобритания",7.7
Заклятие 2,ужасы,"2016, США",7.7
Другие,"ужасы, фантастика, мистика, триллер, драма","2001, Испания / Франция / США",7.7
Блэйд,"ужасы, триллер, боевик","1998, США",7.7
Дракула,"ужасы, мелодрама, триллер, фантастика, драма","1992, США",7.7
Пункт назначения 5,"триллер, ужасы","2011, США",7.7
Шесть демонов Эмили Роуз,"ужасы, драма, триллер","2005, США",7.7
Сделка с дьяволом,"ужасы, триллер","2006, США",7.6
Затащи меня в ад,"триллер, ужасы","2009, США",7.6
Мрачные тени,"ужасы, драма","2012, США",7.6
Хищник,"боевик, ужасы, триллер, фантастика","1987, США",7.6
Замерзшие,"драма, триллер, ужасы, боевик","2010, США",7.6
Кинг Конг,"мелодрама, триллер, приключения, ужасы, боевик, фантастика","1976, США",7.6
Синистер 2,ужасы,"2015, США",7.6
И гаснет свет...,ужасы,"2016, США",7.6
Обитель зла: Последняя глава,"триллер, боевик, ужасы, фантастика","2016, Германия / Австралия / Канада / Франция",7.6
Оно 2,"ужасы, триллер","2019, США",7.6
Счастливого дня смерти,"ужасы, триллер, детектив","2017, США",7.6
Другой мир: Пробуждение,"фантастика, ужасы, боевик","2012, США",7.5
Грайндхаус,"ужасы, боевик, фантастика, комедия","2007, США / Канада",7.5
Оно,"детектив, ужасы","2014, США",7.5
Пила 8,"ужасы, триллер","2017, США / Канада",7.5
Нечто,"ужасы, фантастика","2011, США",7.5
Синистер,"криминал, ужасы","2012, США",7.5
Хищники,"ужасы, приключения, триллер, боевик, фантастика","2010, США",7.5
Пила 4,"криминал, ужасы, триллер","2007, США",7.5
Проклятие Аннабель: зарождение зла,"ужасы, триллер","2017, США",7.5
Звонок 2,"ужасы, триллер, мистика, драма","2005, США",7.5
Мама,ужасы,"2013, США",7.5
Астрал: Глава 2,"ужасы, триллер","2013, США",7.5
Новая эра Z,"ужасы, триллер, драма","2016, США / Великобритания",7.5
Крик 4,"ужасы, триллер","2011, США",7.5
Женщина в черном,"триллер, ужасы, драма","2012, Великобритания",7.5
Избави нас от лукавого,"криминал, боевик, триллер, ужасы","2014, США",7.5
Уиджи: Проклятие доски дьявола,"ужасы, триллер","2016, США",7.5
Лабиринт Фавна,"драма, сказка, ужасы, триллер","2006, Мексика / Испания / США",7.5
Астрал 4: Последний ключ,"ужасы, триллер, мистика","2017, США",7.5
Дракула,"ужасы, драма, боевик, фэнтези","2014, США",7.4
Химера,"триллер, фантастика, ужасы","2009, США / Канада / Франция",7.4
Пила 7,ужасы,"2010, США",7.4
Злое,ужасы,"2021, США",7.4
Пила 3,"триллер, криминал, ужасы","2006, США",7.4
Искатели могил,ужасы,"2011, Канада",7.4
Чужой 4: Воскрешение,"триллер, боевик, ужасы, фантастика","1997, США",7.4
Охотники на ведьм,"комедия, боевик, ужасы","2012, США / Германия",7.4
Тихое место,"ужасы, мистика","2018, США",7.4
Шкатулка Проклятия,"ужасы, триллер","2011, США",7.4
Астрал: Глава 3,ужасы,"2015, США / Канада",7.4
Американский психопат,"ужасы, триллер, драма","2000, США / Канада",7.4
Я иду искать,"ужасы, триллер, детектив","2019, США",7.4
Пила 2,"ужасы, триллер","2005, США",7.4
Страшно красив,"мелодрама, ужасы, фэнтези","2010, США",7.4
