Аватар 2: Путь воды,"приключения, боевик, фантастика","2022, США",9.1
Человек-паук: Нет пути домой,"фантастика, боевик, приключения","2021, США",9.0
Мира,"фантастика, приключения, драма, семейный","2022, Россия",9.0
Ходячий замок,"аниме , сказка, фантастика, мелодрама","2004, Япония",8.9
Аватар,"боевик, фантастика, триллер","2009, США",8.8
Аватар: Специальная версия,"боевик, триллер, фантастика","2010, США",8.8
Начало,"боевик, фантастика, триллер","2010, США / Великобритания",8.7
Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",8.7
Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",8.7
Иван Васильевич меняет профессию,"комедия, фантастика","1973, СССР",8.7
Назад в будущее,"приключения, фантастика, комедия, боевик","1985, США",8.7
Матрица,"боевик, фантастика, триллер","1999, Австралия / США",8.7
Я - легенда,"драма, фантастика, ужасы","2007, США",8.6
Мстители: Война бесконечности,"боевик, фантастика","2018, США",8.6
Джуманджи,"семейный, триллер, комедия, приключения, фантастика, драма","1995, США",8.5
День сурка,"комедия, мелодрама, фантастика","1993, США",8.5
Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",8.5
Главный герой,"фантастика, боевик, комедия, приключения","2021, США",8.5
Пассажиры,"фантастика, приключения, мелодрама","2016, США",8.5
Загадочная история Бенджамина Баттона,"мелодрама, драма, мистика, фантастика","2008, США",8.5
Мстители: Финал,"боевик, фантастика","2019, США",8.5
Железный человек,"приключения, фантастика, боевик, триллер","2008, США",8.4
Веном,"фантастика, боевик, триллер","2018, США",8.4
Король Лев,"фантастика, семейный","2019, США",8.4
Хэнкок,"комедия, фантастика, боевик","2008, США",8.4
Грань будущего,"фантастика, боевик","2014, США",8.4
Веном 2,"фантастика, боевик","2021, США",8.4
Человек-паук: Вдали от дома,"фантастика, боевик","2019, США",8.3
Господин Никто,"фантастика, фэнтези, драма, мелодрама","2009, Бельгия / Канада / Франция",8.3
Время,фантастика,"2011, США",8.3
Алита: Боевой ангел,"фантастика, боевик, приключения, мелодрама","2018, США / Канада / Аргентина",8.3
Логан,"боевик, фантастика","2017, США",8.3
Тайна третьей планеты,"анимация, приключения, семейный, фантастика","1981, СССР",8.3
Чужой,"ужасы, фантастика, триллер","1979, США / Великобритания",8.3
Черная Пантера: Ваканда навеки,"фантастика, боевик, приключения","2022, США",8.3
Трансформеры,"боевик, приключения, фантастика","2007, США",8.3
Сонная лощина,"триллер, ужасы, фантастика","1999, США",8.3
Первому игроку приготовиться,"фантастика, боевик, триллер","2018, США",8.3
Престиж,"сказка, триллер, фантастика, драма","2006, США / Великобритания",8.2
Миньоны: Грювитация,"анимация, фантастика, приключения, комедия, семейный","2022, США / Франция / Япония",8.2
Камуфляж и шпионаж,"анимация, фантастика, семейный","2019, США",8.2
Терминатор,"триллер, фантастика, боевик","1984, Великобритания / США",8.2
Джон Картер,"приключения, фантастика, боевик, фэнтези","2012, США",8.2
"Я, робот","фантастика, приключения, триллер","2004, США",8.2
Ральф против интернета,"анимация, комедия, фантастика, приключения, семейный","2018, США",8.2
Люди Икс: Начало. Росомаха,"фантастика, боевик","2009, США / Новая Зеландия / Австралия",8.2
Люди Икс: Первый класс,"боевик, фантастика, драма","2011, США",8.2
Человек-паук: Через вселенные,"анимация, приключения, фантастика","2018, США",8.2
Чужие,"триллер, ужасы, боевик, фантастика","1986, США / Великобритания",8.2
Доктор Стрэндж: В мультивселенной безумия,"фантастика, боевик, приключения","2022, США",8.1
Исходный код,"драма, фантастика","2011, США / Франция",8.1
Эквилибриум,"фантастика, триллер","2002, США",8.1
Железный человек 3,"фантастика, боевик, приключения","2013, США",8.1
Аквамен,"фантастика, приключения, боевик","2018, США",8.1
Трансформеры: Месть падших,"фантастика, приключения, боевик","2009, США",8.1
Стражи Галактики. Часть 2,"боевик, фантастика","2017, США",8.1
Годзилла,"боевик, фантастика","1998, США / Япония",8.1
Интерстеллар,фантастика,"2014, США / Великобритания",8.1
Звездные Войны: Эпизод III - Месть ситхов,"фантастика, приключения, боевик","2005, США",8.1
2012,"драма, фантастика, боевик, триллер, приключения","2009, США / Канада",8.1
Индиана Джонс и последний крестовый Поход,"фантастика, боевик, приключения, триллер","1989, США",8.1
Район №9,фантастика,"2009, США",8.0
Эффект бабочки,"драма, триллер, фантастика","2004, США",8.0
Дэдпул 2,"боевик, приключения, комедия, фантастика","2018, США",8.0
Смертельная гонка,"фантастика, триллер, приключения, боевик","2008, США",8.0
Стражи Галактики,"фантастика, боевик, приключения","2014, США",8.0
Апгрейд,"фантастика, боевик, триллер","2018, Австралия",8.0
Охотники за привидениями,"комедия, фантастика, боевик","1984, США",8.0
Бамблби,"фантастика, боевик","2018, США",8.0
Железный человек 2,"фантастика, боевик","2010, США",8.0
Обливион,"боевик, фантастика","2013, США",8.0
Майор Гром: Чумной Доктор,"фантастика, драма, боевик","2021, Россия",8.0
Рэмпейдж,"боевик, фантастика, приключения","2018, США",8.0
Валериан и город тысячи планет,"фантастика, боевик, приключения","2017, Франция",8.0
Мир Юрского периода 2,"фантастика, боевик, приключения","2018, США",8.0
Восстание планеты обезьян,"фантастика, боевик, приключения","2011, США",8.0
Посвященный,"фантастика, драма, фэнтези","2014, США",7.9
Вспомнить все,"приключения, ужасы, боевик, триллер, фантастика","1990, США",7.9
Трансформеры 3: Темная сторона Луны,"приключения, боевик, фантастика","2011, США",7.9
Дюна,"фантастика, боевик, приключения","2021, США",7.9
Первый Мститель: Противостояние,"боевик, фантастика","2016, США",7.9
Пророк,"фантастика, триллер, боевик","2007, США",7.9
Мег: Монстр глубины,"ужасы, фантастика, боевик","2018, США",7.9
28 недель спустя,"фантастика, триллер, ужасы","2007, Великобритания",7.9
Пункт назначения,"фантастика, ужасы, триллер","2000, США",7.9
Отряд самоубийц,"боевик, фантастика","2016, США",7.9
Выживут только любовники,"фантастика, триллер, драма","2013, США",7.9
