Ночь в магазине ужастиков,"приключения, семейный, фэнтези","2022, США",8.7
Властелин Колец: Братство Кольца,"приключения, боевик, фэнтези","2001, Новая Зеландия / США",8.6
Шан-Чи и легенда десяти колец,"фэнтези, боевик, комедия","2021, США",8.6
Малефисента: Владычица тьмы,"фэнтези, семейный, приключения","2019, США",8.6
Твое имя,"анимация, фэнтези, мелодрама, аниме ","2016, Япония",8.6
ВАЛЛ-И,"семейный, фэнтези, анимация","2008, США",8.6
Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",8.5
Привидение,"драма, фэнтези, триллер, мистика, комедия","1990, США",8.5
Сумерки,"фэнтези, мелодрама","2008, США",8.5
Лука,"анимация, приключения, фэнтези","2021, США",8.4
Хоббит: Нежданное путешествие,"фэнтези, приключения","2012, США",8.4
Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",8.4
Пираты Карибского моря: Мертвецы не рассказывают сказки,"комедия, фэнтези, боевик, приключения","2017, США",8.4
Сумерки. Сага. Новолуние,"фэнтези, мелодрама","2009, США",8.4
Маска,"фэнтези, криминал, комедия","1994, США",8.4
Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",8.3
Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",8.3
Принц Персии: Пески времени,"приключения, мелодрама, боевик, фэнтези","2010, США",8.3
Господин Никто,"фантастика, фэнтези, драма, мелодрама","2009, Бельгия / Канада / Франция",8.3
Тор: Рагнарёк,"фэнтези, драма, боевик","2017, США",8.3
Университет монстров,"комедия, семейный, фэнтези, приключения, анимация","2013, США",8.3
Гарри Поттер и узник Азкабана,"приключения, семейный, фэнтези","2004, США / Великобритания",8.3
Властелин Колец: Возвращение Короля,фэнтези,"2003, США / Новая Зеландия / Германия",8.2
Доктор Стрэндж,"фэнтези, приключения","2016, США",8.2
Вайолет Эвергарден. Фильм,"анимация, драма, фэнтези","2020, Япония",8.2
Последний Богатырь: Посланник Тьмы,"приключения, фэнтези, семейный","2021, Россия",8.2
Джон Картер,"приключения, фантастика, боевик, фэнтези","2012, США",8.2
Сумерки. Сага. Рассвет: Часть 1,"фэнтези, мелодрама","2011, США",8.2
Дитя погоды,"аниме , мелодрама, анимация, фэнтези","2019, Япония",8.2
Хоббит: Пустошь Смауга,"драма, фэнтези, приключения","2013, США / Новая Зеландия",8.2
Соник в кино,фэнтези,"2019, США",8.2
Дом странных детей мисс Перегрин,"фэнтези, приключения","2016, США",8.1
Воспоминания о Марни,"аниме , драма, фэнтези","2014, Япония",8.1
Джуманджи: Зов джунглей,"приключения, семейный, фэнтези","2017, США",8.1
Хоббит: Битва Пяти Воинств,"фэнтези, приключения","2014, США",8.1
Варкрафт,"приключения, боевик, фэнтези","2016, США",8.1
Вперёд,"анимация, семейный, приключения, комедия, фэнтези","2019, США",8.1
Кот в сапогах,"фэнтези, комедия, анимация, приключения","2011, США",8.0
Серебряные коньки,"приключения, фэнтези","2020, Россия",8.0
Меч короля Артура,"фэнтези, боевик, драма, приключения","2017, США",8.0
