1+1,"комедия, драма, биография","2011, Франция",9.0
FORD против FERRARI,"биография, драма, спорт","2019, США",8.8
Богемская рапсодия,"драма, биография, мюзикл","2018, США / Великобритания",8.6
Храброе сердце,"военный, биография, боевик, драма","1995, США",8.6
Игры разума,"мистика, драма, биография","2001, США",8.5
Кошачьи миры Луиса Уэйна,"биография, драма, исторический","2021, Великобритания",8.4
По соображениям совести,"военный, драма, биография","2016, США",8.3
Легенда №17,"биография, спорт","2012, Россия",8.3
Васаби,"приключения, криминал, биография, комедия","2001, Франция / Япония",8.2
Список Шиндлера,"исторический, военный, драма, биография","1993, США",8.1
Игры разумов,"драма, детектив, биография","2018, Ирландия",8.1
Величайший шоумен,"мюзикл, биография, драма","2018, США",8.0
Мотылек,"драма, криминал, биография","2017, Сербия / Черногория / Мальта / США",8.0
Адмиралъ,"драма, биография, исторический","2008, Россия",8.0
Аманат,"биография, исторический, драма","2022, Россия",8.0
Гонка,"биография, драма, боевик, спорт","2012, США",8.0
1941. Крылья над Берлином,"биография, исторический, мелодрама","2022, Россия",8.0
Белый снег,"драма, спорт, биография","2021, Россия",8.0
Джейн Остин,"биография, драма, мелодрама","2007, США / Великобритания / Ирландия",7.9
На гребне волны,"драма, приключения, биография, триллер, криминал","1991, США",7.9
Чудо на Гудзоне,"драма, биография","2016, США",7.8
Летчик,"военный, биография, драма, исторический","2021, Россия",7.8
Грех,"драма, биография, исторический","2018, Россия / Италия",7.7
"Ван Гог. С любовью, Винсент","анимация, драма, криминал, биография","2017, Великобритания / Польша",7.7
Жизнь в розовом цвете,"биография, драма, мюзикл","2007, Франция / Великобритания / Чехия",7.6
"Высоцкий. Спасибо, что живой","биография, драма","2011, Россия",7.6
Матильда,"драма, биография, триллер","2017, Россия",7.6
Девятаев,"военный, биография","2021, Россия",7.6
Отголоски прошлого,"драма, биография","2008, Великобритания",7.6
Пирамммида,"драма, биография, криминал","2010, Россия",7.6
Жена смотрителя зоопарка,"драма, биография, военный","2016, США",7.5
Эйфель,"биография, драма, исторический","2021, Франция",7.5
Коко до Шанель,биография,"2008, Франция",7.5
Волшебная страна,"биография, семейный, драма","2004, Великобритания / США",7.5
Большая игра,"драма, биография","2017, США",7.5
Дневник баскетболиста,"биография, спорт, драма","1995, США",7.5
Фаворитка,"биография, исторический","2018, Ирландия / Великобритания / США",7.5
2Pac: Легенда,"драма, биография, мюзикл","2017, США",7.4
Лев Яшин. Вратарь моей мечты,"биография, спорт, драма","2019, Россия",7.4
Монгол. Часть первая,"исторический, драма, биография","2007, Казахстан / Россия / Германия",7.4
Контроль,"мюзикл, драма, биография","2007, США / Великобритания / Австралия / Япония",7.4
Игра в имитацию,"триллер, биография, драма","2014, США",7.4
Лето,"биография, драма, мюзикл","2018, Россия",7.4
Царь,"биография, исторический, драма","2009, Россия",7.3
Вселенная Стивена Хокинга,"биография, драма","2014, Великобритания",7.3
История одного назначения,"биография, исторический","2018, Россия",7.3
Фрида,"драма, биография","2002, США / Канада / Мексика",7.3
Элвис,"драма, биография, мюзикл","2022, США",7.3
Скафандр и бабочка,"биография, драма","2007, Франция / США",7.3
Король Ричард,"драма, биография, спорт","2021, США",7.3
Человек на Луне,"драма, биография","2018, США",7.3
Гагарин. Первый в космосе,"исторический, драма, биография","2013, Россия",7.3
Зеленый театр в Земфире,"биография, мюзикл","2008, Россия",7.2
Джеки,"драма, биография","2016, США / Франция",7.2
Две королевы,"исторический, драма, биография","2018, Великобритания",7.2
Виктория и Абдул,"драма, биография, исторический","2017, США / Великобритания",7.2
12 лет рабства,"драма, исторический, биография","2013, США / Великобритания",7.2
Довлатов,"драма, биография","2017, Россия",7.0
Эскобар,"драма, криминал, биография","2017, Испания / Болгария",6.7
Тоня против всех,"биография, комедия, спорт","2017, США",6.7
Ламборгини: Человек-легенда,"драма, биография","2022, Италия",6.7
Охотник за разумом. Схватка,"биография, криминал, драма","2021, США",6.3
Затерянный город Z,"исторический, драма, приключения, биография, боевик","2016, США",6.1
Рокетмен,"мюзикл, биография","2019, Великобритания",6.1
Стрельцов,"биография, спорт, драма","2020, Россия",6.0
Кон-Тики,"боевик, биография, драма, приключения, исторический","2012, Великобритания / Норвегия / Дания",5.7
Джобс: Империя соблазна,"драма, биография","2013, США",5.6
Танки,"биография, военный, исторический","2018, Россия",5.6
Харви Милк,"биография, драма","2008, США",5.5
