Аватар 2: Путь воды,"приключения, боевик, фантастика","2022, США",9.1
Человек-паук: Нет пути домой,"фантастика, боевик, приключения","2021, США",9.0
Ван-Пис: Красный,"боевик, приключения, анимация","2022, Япония",8.8
Пираты Карибского моря: Проклятие черной жемчужины,"приключения, боевик","2003, США",8.8
Аватар,"боевик, фантастика, триллер","2009, США",8.8
Аватар: Специальная версия,"боевик, триллер, фантастика","2010, США",8.8
Брат,"боевик, драма","1997, Россия",8.8
Начало,"боевик, фантастика, триллер","2010, США / Великобритания",8.7
Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",8.7
Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",8.7
Истребитель демонов: Поезд «Бесконечный»,"боевик, приключения, анимация","2020, Япония",8.7
Назад в будущее,"приключения, фантастика, комедия, боевик","1985, США",8.7
Джентльмены,"боевик, криминал","2020, США",8.7
Терминатор 2: Судный день 3D,"боевик, триллер","2017, США",8.7
Матрица,"боевик, фантастика, триллер","1999, Австралия / США",8.7
Брат 2,"боевик, криминал","2000, США / Россия",8.6
Властелин Колец: Братство Кольца,"приключения, боевик, фэнтези","2001, Новая Зеландия / США",8.6
Операция «Фортуна»: Искусство побеждать,"триллер, боевик, комедия","2023, США",8.6
Пираты Карибского моря: На странных берегах,"боевик, комедия, приключения","2011, США",8.6
Гладиатор,"приключения, драма, боевик","2000, Великобритания / США",8.6
Шан-Чи и легенда десяти колец,"фэнтези, боевик, комедия","2021, США",8.6
Пираты Карибского моря: На краю света,"сказка, боевик, комедия, приключения","2007, США",8.6
Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",8.6
Мстители: Война бесконечности,"боевик, фантастика","2018, США",8.6
Храброе сердце,"военный, биография, боевик, драма","1995, США",8.6
Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",8.5
Главный герой,"фантастика, боевик, комедия, приключения","2021, США",8.5
Не время умирать,"боевик, криминал, триллер, приключения","2021, США / Великобритания",8.5
Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",8.5
Мстители: Финал,"боевик, фантастика","2019, США",8.5
Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",8.4
Железный человек,"приключения, фантастика, боевик, триллер","2008, США",8.4
Веном,"фантастика, боевик, триллер","2018, США",8.4
Гнев человеческий,"криминал, боевик, триллер","2021, Великобритания",8.4
Хэнкок,"комедия, фантастика, боевик","2008, США",8.4
Пираты Карибского моря: Сундук мертвеца,"боевик, сказка, комедия, приключения","2006, США",8.4
Пес-самурай и город кошек,"боевик, анимация, комедия","2022, Великобритания / Китай / США",8.4
Пираты Карибского моря: Мертвецы не рассказывают сказки,"комедия, фэнтези, боевик, приключения","2017, США",8.4
Анчартед: на картах не значится,"боевик, приключения","2022, США",8.4
Бойцовский клуб,"триллер, боевик, драма","1999, США / Германия",8.4
Грань будущего,"фантастика, боевик","2014, США",8.4
Веном 2,"фантастика, боевик","2021, США",8.4
Крепкий орешек,"триллер, криминал, боевик","1988, США",8.4
Живая сталь,"драма, боевик","2011, США",8.4
РЭД,"комедия, боевик","2010, США",8.3
Место встречи изменить нельзя,"криминал, детектив, боевик","1979, СССР",8.3
Принц Персии: Пески времени,"приключения, мелодрама, боевик, фэнтези","2010, США",8.3
Человек-паук: Вдали от дома,"фантастика, боевик","2019, США",8.3
Скала,"боевик, приключения","1996, США",8.3
Алита: Боевой ангел,"фантастика, боевик, приключения, мелодрама","2018, США / Канада / Аргентина",8.3
Телохранитель киллера,"боевик, комедия","2017, США",8.3
Люди в черном,боевик,"1997, США",8.3
Логан,"боевик, фантастика","2017, США",8.3
Тор: Рагнарёк,"фэнтези, драма, боевик","2017, США",8.3
Заложница,"триллер, боевик","2008, Франция",8.3
Апокалипсис,"боевик, приключения, драма","2006, США",8.3
Топ Ган: Мэверик,боевик,"2022, США",8.3
Черная Пантера: Ваканда навеки,"фантастика, боевик, приключения","2022, США",8.3
Трансформеры,"боевик, приключения, фантастика","2007, США",8.3
Первому игроку приготовиться,"фантастика, боевик, триллер","2018, США",8.3
Форсаж 5,"боевик, приключения","2011, США",8.3
Полицейский из Беверли-Хиллз 4,"боевик, триллер, комедия",", США",8.2
Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",8.2
От заката до рассвета,"боевик, триллер, ужасы","1995, США",8.2
Константин: повелитель тьмы,"триллер, боевик, сказка, драма","2005, США / Германия",8.2
Мистер и миссис Смит,"триллер, приключения, боевик, мелодрама","2005, США",8.2
300 спартанцев,"приключения, драма, боевик","2007, США",8.2
Механик,"драма, боевик","2011, США",8.2
Терминатор,"триллер, фантастика, боевик","1984, Великобритания / США",8.2
Джон Картер,"приключения, фантастика, боевик, фэнтези","2012, США",8.2
Т-34,"военный, боевик, приключения","2018, Россия",8.2
Час пик 2,"триллер, комедия, приключения, боевик","2001, США",8.2
Индиана Джонс: В поисках утраченного ковчега,"приключения, триллер, боевик","1981, США",8.2
"Значит, война","комедия, боевик, мелодрама","2011, США",8.2
Люди Икс: Начало. Росомаха,"фантастика, боевик","2009, США / Новая Зеландия / Австралия",8.2
Люди Икс: Первый класс,"боевик, фантастика, драма","2011, США",8.2
Чужие,"триллер, ужасы, боевик, фантастика","1986, США / Великобритания",8.2
Доктор Стрэндж: В мультивселенной безумия,"фантастика, боевик, приключения","2022, США",8.1
Мумия,"триллер, комедия, боевик, сказка, ужасы, приключения","1999, США",8.1
Плохие парни навсегда,"боевик, криминал, комедия","2020, США",8.1
Крепкий орешек 4.0,"приключения, триллер, боевик","2007, США",8.1
Железный человек 3,"фантастика, боевик, приключения","2013, США",8.1
Команда А,"боевик, триллер, военный","2010, США",8.1
Час пик,"триллер, боевик, комедия","1998, США",8.1
RRR: Рядом ревёт революция,"боевик, драма","2022, Индия",8.1
Аквамен,"фантастика, приключения, боевик","2018, США",8.1
