Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",8.7
Джанго освобожденный,вестерн,"2012, США",8.3
Спирит: Душа прерий,"вестерн, анимация, приключения, семейный","2002, США",8.1
Быстрый и мертвый,вестерн,"1995, США / Япония",8.0
Зорро,"комедия, семейный, вестерн, приключения","1975, Франция / Италия",7.9
Харлей Дэвидсон и ковбой Мальборо,"триллер, боевик, драма, вестерн","1991, США",7.9
Легенды осени,"драма, военный, вестерн","1994, США",7.8
Омерзительная восьмерка,"комедия, вестерн, триллер","2015, США",7.7
Железная хватка,"драма, вестерн","2010, США",7.6
Поезд на Юму,вестерн,"2007, США",7.6
Мертвец,"криминал, вестерн, драма, приключения","1995, США / Германия / Япония",7.6
Великолепная семерка,"боевик, вестерн","2016, США",7.6
Книга Илая,"вестерн, приключения, драма, боевик","2010, США",7.5
Одинокий рейнджер,"триллер, боевик, вестерн","2013, США",7.5
Австралия,"драма, вестерн, военный, приключения","2008, США / Австралия",7.3
Ковбои против пришельцев,"фэнтези, фантастика, боевик, вестерн","2011, США",7.2
Темная башня,"фэнтези, фантастика, вестерн, ужасы","2017, США",7.0
Однажды в Мексике,"вестерн, боевик, криминал","2003, США",6.9
Роковое искушение,"драма, вестерн","2017, США",6.9
