Холодное сердце 2,"анимация, семейный, детский","2019, США",8.6
Суперсемейка 2,"анимация, детский","2018, США",8.1
Ежик в тумане,детский,"1975, СССР",8.0
Смешарики. Начало,"анимация, детский","2011, Россия",7.8
Тачки 3,"детский, анимация, приключения","2017, США",7.8
Angry Birds 2 в кино,"анимация, детский","2019, США",7.8
Кролик Питер,"анимация, семейный, детский","2018, США",7.8
Звездные собаки: Белка и Стрелка,"детский, анимация, семейный","2010, Россия",7.8
Фиксики против кработов,"анимация, детский","2019, Россия",7.8
История игрушек 4,"комедия, фэнтези, детский, семейный","2019, США",7.7
Полет навигатора,"детский, приключения, фантастика","1986, США",7.6
Иван Царевич и Серый Волк 3,"анимация, детский, семейный","2015, Россия",7.6
Фиксики. Большой секрет,"анимация, детский, семейный, приключения","2017, Россия",7.6
Три богатыря и принцесса Египта,"анимация, приключения, детский","2017, Россия",7.6
Сезон охоты 3,"детский, анимация","2010, США",7.5
Сказ о Петре и Февронии,"анимация, детский, приключения","2017, Россия",7.5
Смешарики. Дежавю,"анимация, приключения, детский","2017, Россия",7.5
Щелкунчик и волшебная флейта,детский,"2022, Россия",7.4
Календарь ма(й)я,"детский, приключения","2022, Россия",7.4
Мы — монстры,"анимация, детский","2017, Германия",7.4
Жил был кот,"анимация, детский, комедия","2016, Япония",7.4
My Little Pony в кино,"анимация, детский","2017, США / Канада",7.4
Снежная королева: Зазеркалье,"анимация, детский, семейный, приключения, фэнтези","2019, Россия",7.2
Тролли. Мировой тур,"анимация, детский","2020, США",7.1
Мия и Я: Легенда Сентопии,детский,"2022, Германия / Австрия",7.0
Снежная королева 3: огонь и лед,"анимация, детский","2016, Россия",6.9
Иван Царевич и Серый Волк 4,"анимация, детский","2019, Россия",6.9
Два хвоста,"анимация, детский","2018, Россия",6.8
Три богатыря и Конь на троне,"анимация, детский, приключения, семейный","2021, Россия",6.5
